GAME,DATE,VISITOR,HOME,VISITOR_a,HOME_a,MATCHUP_HOME,MATCHUP_AWAY
1,10/18/2022,Philadelphia,Boston,Philadelphia,Boston,BOS vs. PHI,PHI @ BOS
2,10/18/2022,L.A. Lakers,Golden State,LAL,Golden State,GSW vs. LAL,LAL @ GSW
3,10/19/2022,Orlando,Detroit,Orlando,Detroit,DET vs. ORL,ORL @ DET
4,10/19/2022,Washington,Indiana,Washington,Indiana,IND vs. WAS,WAS @ IND
5,10/19/2022,Houston,Atlanta,Houston,Atlanta,ATL vs. HOU,HOU @ ATL
6,10/19/2022,New Orleans,Brooklyn,New Orleans,Brooklyn,BKN vs. NOP,NOP @ BKN
7,10/19/2022,Chicago,Miami,Chicago,Miami,MIA vs. CHI,CHI @ MIA
8,10/19/2022,Cleveland,Toronto,Cleveland,Toronto,TOR vs. CLE,CLE @ TOR
9,10/19/2022,New York,Memphis,New York,Memphis,MEM vs. NYK,NYK @ MEM
10,10/19/2022,Oklahoma City,Minnesota,Oklahoma City,Minnesota,MIN vs. OKC,OKC @ MIN
11,10/19/2022,Charlotte,San Antonio,Charlotte,San Antonio,SAS vs. CHA,CHA @ SAS
12,10/19/2022,Denver,Utah,Denver,Utah,UTA vs. DEN,DEN @ UTA
13,10/19/2022,Dallas,Phoenix,Dallas,Phoenix,PHX vs. DAL,DAL @ PHX
14,10/19/2022,Portland,Sacramento,Portland,Sacramento,SAC vs. POR,POR @ SAC
15,10/20/2022,Milwaukee,Philadelphia,Milwaukee,Philadelphia,PHI vs. MIL,MIL @ PHI
16,10/20/2022,LA Clippers,L.A. Lakers,LAC,LAL,LAL vs. LAC,LAC @ LAL
17,10/21/2022,New Orleans,Charlotte,New Orleans,Charlotte,CHA vs. NOP,NOP @ CHA
18,10/21/2022,San Antonio,Indiana,San Antonio,Indiana,IND vs. SAS,SAS @ IND
19,10/21/2022,Chicago,Washington,Chicago,Washington,WAS vs. CHI,CHI @ WAS
20,10/21/2022,Orlando,Atlanta,Orlando,Atlanta,ATL vs. ORL,ORL @ ATL
21,10/21/2022,Toronto,Brooklyn,Toronto,Brooklyn,BKN vs. TOR,TOR @ BKN
22,10/21/2022,Boston,Miami,Boston,Miami,MIA vs. BOS,BOS @ MIA
23,10/21/2022,Detroit,New York,Detroit,New York,NYK vs. DET,DET @ NYK
24,10/21/2022,Memphis,Houston,Memphis,Houston,HOU vs. MEM,MEM @ HOU
25,10/21/2022,Utah,Minnesota,Utah,Minnesota,MIN vs. UTA,UTA @ MIN
26,10/21/2022,Denver,Golden State,Denver,Golden State,GSW vs. DEN,DEN @ GSW
27,10/21/2022,Phoenix,Portland,Phoenix,Portland,POR vs. PHX,PHX @ POR
28,10/22/2022,San Antonio,Philadelphia,San Antonio,Philadelphia,PHI vs. SAS,SAS @ PHI
29,10/22/2022,Detroit,Indiana,Detroit,Indiana,IND vs. DET,DET @ IND
30,10/22/2022,Boston,Orlando,Boston,Orlando,ORL vs. BOS,BOS @ ORL
31,10/22/2022,Toronto,Miami,Toronto,Miami,MIA vs. TOR,TOR @ MIA
32,10/22/2022,Cleveland,Chicago,Cleveland,Chicago,CHI vs. CLE,CLE @ CHI
33,10/22/2022,Houston,Milwaukee,Houston,Milwaukee,MIL vs. HOU,HOU @ MIL
34,10/22/2022,Memphis,Dallas,Memphis,Dallas,DAL vs. MEM,MEM @ DAL
35,10/22/2022,Oklahoma City,Denver,Oklahoma City,Denver,DEN vs. OKC,OKC @ DEN
36,10/22/2022,LA Clippers,Sacramento,LAC,Sacramento,SAC vs. LAC,LAC @ SAC
37,10/23/2022,Portland,L.A. Lakers,Portland,LAL,LAL vs. POR,POR @ LAL
38,10/23/2022,Charlotte,Atlanta,Charlotte,Atlanta,ATL vs. CHA,CHA @ ATL
39,10/23/2022,Washington,Cleveland,Washington,Cleveland,CLE vs. WAS,WAS @ CLE
40,10/23/2022,Utah,New Orleans,Utah,New Orleans,NOP vs. UTA,UTA @ NOP
41,10/23/2022,Minnesota,Oklahoma City,Minnesota,Oklahoma City,OKC vs. MIN,MIN @ OKC
42,10/23/2022,Sacramento,Golden State,Sacramento,Golden State,GSW vs. SAC,SAC @ GSW
43,10/23/2022,Phoenix,LA Clippers,Phoenix,LAC,LAC vs. PHX,PHX @ LAC
44,10/24/2022,Indiana,Philadelphia,Indiana,Philadelphia,PHI vs. IND,IND @ PHI
45,10/24/2022,Toronto,Miami,Toronto,Miami,MIA vs. TOR,TOR @ MIA
46,10/24/2022,Orlando,New York,Orlando,New York,NYK vs. ORL,ORL @ NYK
47,10/24/2022,Boston,Chicago,Boston,Chicago,CHI vs. BOS,BOS @ CHI
48,10/24/2022,Utah,Houston,Utah,Houston,HOU vs. UTA,UTA @ HOU
49,10/24/2022,Brooklyn,Memphis,Brooklyn,Memphis,MEM vs. BKN,BKN @ MEM
50,10/24/2022,San Antonio,Minnesota,San Antonio,Minnesota,MIN vs. SAS,SAS @ MIN
51,10/24/2022,Denver,Portland,Denver,Portland,POR vs. DEN,DEN @ POR
52,10/25/2022,Detroit,Washington,Detroit,Washington,WAS vs. DET,DET @ WAS
53,10/25/2022,Dallas,New Orleans,Dallas,New Orleans,NOP vs. DAL,DAL @ NOP
54,10/25/2022,LA Clippers,Oklahoma City,LAC,Oklahoma City,OKC vs. LAC,LAC @ OKC
55,10/25/2022,Golden State,Phoenix,Golden State,Phoenix,PHX vs. GSW,GSW @ PHX
56,10/26/2022,Orlando,Cleveland,Orlando,Cleveland,CLE vs. ORL,ORL @ CLE
57,10/26/2022,Atlanta,Detroit,Atlanta,Detroit,DET vs. ATL,ATL @ DET
58,10/26/2022,Charlotte,New York,Charlotte,New York,NYK vs. CHA,CHA @ NYK
59,10/26/2022,Philadelphia,Toronto,Philadelphia,Toronto,TOR vs. PHI,PHI @ TOR
60,10/26/2022,Brooklyn,Milwaukee,Brooklyn,Milwaukee,MIL vs. BKN,BKN @ MIL
61,10/26/2022,Indiana,Chicago,Indiana,Chicago,CHI vs. IND,IND @ CHI
62,10/26/2022,San Antonio,Minnesota,San Antonio,Minnesota,MIN vs. SAS,SAS @ MIN
63,10/26/2022,Houston,Utah,Houston,Utah,UTA vs. HOU,HOU @ UTA
64,10/26/2022,L.A. Lakers,Denver,LAL,Denver,DEN vs. LAL,LAL @ DEN
65,10/26/2022,Miami,Portland,Miami,Portland,POR vs. MIA,MIA @ POR
66,10/27/2022,Dallas,Brooklyn,Dallas,Brooklyn,BKN vs. DAL,DAL @ BKN
67,10/27/2022,LA Clippers,Oklahoma City,LAC,Oklahoma City,OKC vs. LAC,LAC @ OKC
68,10/27/2022,Miami,Golden State,Miami,Golden State,GSW vs. MIA,MIA @ GSW
69,10/27/2022,Memphis,Sacramento,Memphis,Sacramento,SAC vs. MEM,MEM @ SAC
70,10/28/2022,Atlanta,Detroit,Atlanta,Detroit,DET vs. ATL,ATL @ DET
71,10/28/2022,Charlotte,Orlando,Charlotte,Orlando,ORL vs. CHA,CHA @ ORL
72,10/28/2022,Cleveland,Boston,Cleveland,Boston,BOS vs. CLE,CLE @ BOS
73,10/28/2022,Philadelphia,Toronto,Philadelphia,Toronto,TOR vs. PHI,PHI @ TOR
74,10/28/2022,Indiana,Washington,Indiana,Washington,WAS vs. IND,IND @ WAS
75,10/28/2022,New York,Milwaukee,New York,Milwaukee,MIL vs. NYK,NYK @ MIL
76,10/28/2022,L.A. Lakers,Minnesota,LAL,Minnesota,MIN vs. LAL,LAL @ MIN
77,10/28/2022,Chicago,San Antonio,Chicago,San Antonio,SAS vs. CHI,CHI @ SAS
78,10/28/2022,Utah,Denver,Utah,Denver,DEN vs. UTA,UTA @ DEN
79,10/28/2022,New Orleans,Phoenix,New Orleans,Phoenix,PHX vs. NOP,NOP @ PHX
80,10/28/2022,Houston,Portland,Houston,Portland,POR vs. HOU,HOU @ POR
81,10/29/2022,Miami,Sacramento,Miami,Sacramento,SAC vs. MIA,MIA @ SAC
82,10/29/2022,Golden State,Charlotte,Golden State,Charlotte,CHA vs. GSW,GSW @ CHA
83,10/29/2022,Indiana,Brooklyn,Indiana,Brooklyn,BKN vs. IND,IND @ BKN
84,10/29/2022,Philadelphia,Chicago,Philadelphia,Chicago,CHI vs. PHI,PHI @ CHI
85,10/29/2022,Atlanta,Milwaukee,Atlanta,Milwaukee,MIL vs. ATL,ATL @ MIL
86,10/29/2022,Oklahoma City,Dallas,Oklahoma City,Dallas,DAL vs. OKC,OKC @ DAL
87,10/29/2022,Memphis,Utah,Memphis,Utah,UTA vs. MEM,MEM @ UTA
88,10/30/2022,New Orleans,LA Clippers,New Orleans,LAC,LAC vs. NOP,NOP @ LAC
89,10/30/2022,Washington,Boston,Washington,Boston,BOS vs. WAS,WAS @ BOS
90,10/30/2022,New York,Cleveland,New York,Cleveland,CLE vs. NYK,NYK @ CLE
91,10/30/2022,Golden State,Detroit,Golden State,Detroit,DET vs. GSW,GSW @ DET
92,10/30/2022,Minnesota,San Antonio,Minnesota,San Antonio,SAS vs. MIN,MIN @ SAS
93,10/30/2022,Orlando,Dallas,Orlando,Dallas,DAL vs. ORL,ORL @ DAL
94,10/30/2022,Houston,Phoenix,Houston,Phoenix,PHX vs. HOU,HOU @ PHX
95,10/30/2022,Denver,L.A. Lakers,Denver,LAL,LAL vs. DEN,DEN @ LAL
96,10/31/2022,Sacramento,Charlotte,Sacramento,Charlotte,CHA vs. SAC,SAC @ CHA
97,10/31/2022,Philadelphia,Washington,Philadelphia,Washington,WAS vs. PHI,PHI @ WAS
98,10/31/2022,Indiana,Brooklyn,Indiana,Brooklyn,BKN vs. IND,IND @ BKN
99,10/31/2022,Atlanta,Toronto,Atlanta,Toronto,TOR vs. ATL,ATL @ TOR
100,10/31/2022,Detroit,Milwaukee,Detroit,Milwaukee,MIL vs. DET,DET @ MIL
101,10/31/2022,Memphis,Utah,Memphis,Utah,UTA vs. MEM,MEM @ UTA
102,10/31/2022,Houston,LA Clippers,Houston,LAC,LAC vs. HOU,HOU @ LAC
103,11/1/2022,Chicago,Brooklyn,Chicago,Brooklyn,BKN vs. CHI,CHI @ BKN
104,11/1/2022,Golden State,Miami,Golden State,Miami,MIA vs. GSW,GSW @ MIA
105,11/1/2022,Orlando,Oklahoma City,Orlando,Oklahoma City,OKC vs. ORL,ORL @ OKC
106,11/1/2022,Minnesota,Phoenix,Minnesota,Phoenix,PHX vs. MIN,MIN @ PHX
107,11/2/2022,Boston,Cleveland,Boston,Cleveland,CLE vs. BOS,BOS @ CLE
108,11/2/2022,Washington,Philadelphia,Washington,Philadelphia,PHI vs. WAS,WAS @ PHI
109,11/2/2022,Sacramento,Miami,Sacramento,Miami,MIA vs. SAC,SAC @ MIA
110,11/2/2022,Atlanta,New York,Atlanta,New York,NYK vs. ATL,ATL @ NYK
111,11/2/2022,Charlotte,Chicago,Charlotte,Chicago,CHI vs. CHA,CHA @ CHI
112,11/2/2022,LA Clippers,Houston,LAC,Houston,HOU vs. LAC,LAC @ HOU
113,11/2/2022,Detroit,Milwaukee,Detroit,Milwaukee,MIL vs. DET,DET @ MIL
114,11/2/2022,Toronto,San Antonio,Toronto,San Antonio,SAS vs. TOR,TOR @ SAS
115,11/2/2022,Utah,Dallas,Utah,Dallas,DAL vs. UTA,UTA @ DAL
116,11/2/2022,Memphis,Portland,Memphis,Portland,POR vs. MEM,MEM @ POR
117,11/2/2022,New Orleans,L.A. Lakers,New Orleans,LAL,LAL vs. NOP,NOP @ LAL
118,11/3/2022,Golden State,Orlando,Golden State,Orlando,ORL vs. GSW,GSW @ ORL
119,11/3/2022,Denver,Oklahoma City,Denver,Oklahoma City,OKC vs. DEN,DEN @ OKC
120,11/4/2022,Cleveland,Detroit,Cleveland,Detroit,DET vs. CLE,CLE @ DET
121,11/4/2022,Miami,Indiana,Miami,Indiana,IND vs. MIA,MIA @ IND
122,11/4/2022,New York,Philadelphia,New York,Philadelphia,PHI vs. NYK,NYK @ PHI
123,11/4/2022,Brooklyn,Washington,Brooklyn,Washington,WAS vs. BKN,BKN @ WAS
124,11/4/2022,Chicago,Boston,Chicago,Boston,BOS vs. CHI,CHI @ BOS
125,11/4/2022,Charlotte,Memphis,Charlotte,Memphis,MEM vs. CHA,CHA @ MEM
126,11/4/2022,LA Clippers,San Antonio,LAC,San Antonio,SAS vs. LAC,LAC @ SAS
127,11/4/2022,Toronto,Dallas,Toronto,Dallas,DAL vs. TOR,TOR @ DAL
128,11/4/2022,Golden State,New Orleans,Golden State,New Orleans,NOP vs. GSW,GSW @ NOP
129,11/4/2022,Milwaukee,Minnesota,Milwaukee,Minnesota,MIN vs. MIL,MIL @ MIN
130,11/4/2022,Portland,Phoenix,Portland,Phoenix,PHX vs. POR,POR @ PHX
131,11/4/2022,Utah,L.A. Lakers,Utah,LAL,LAL vs. UTA,UTA @ LAL
132,11/5/2022,Sacramento,Orlando,Sacramento,Orlando,ORL vs. SAC,SAC @ ORL
133,11/5/2022,Brooklyn,Charlotte,Brooklyn,Charlotte,CHA vs. BKN,BKN @ CHA
134,11/5/2022,New Orleans,Atlanta,New Orleans,Atlanta,ATL vs. NOP,NOP @ ATL
135,11/5/2022,Boston,New York,Boston,New York,NYK vs. BOS,BOS @ NYK
136,11/5/2022,Oklahoma City,Milwaukee,Oklahoma City,Milwaukee,MIL vs. OKC,OKC @ MIL
137,11/5/2022,Houston,Minnesota,Houston,Minnesota,MIN vs. HOU,HOU @ MIN
138,11/5/2022,San Antonio,Denver,San Antonio,Denver,DEN vs. SAS,SAS @ DEN
139,11/5/2022,Portland,Phoenix,Portland,Phoenix,PHX vs. POR,POR @ PHX
140,11/6/2022,Cleveland,L.A. Lakers,Cleveland,LAL,LAL vs. CLE,CLE @ LAL
141,11/6/2022,Chicago,Toronto,Chicago,Toronto,TOR vs. CHI,CHI @ TOR
142,11/6/2022,Washington,Memphis,Washington,Memphis,MEM vs. WAS,WAS @ MEM
143,11/6/2022,Utah,LA Clippers,Utah,LAC,LAC vs. UTA,UTA @ LAC
144,11/7/2022,Washington,Charlotte,Washington,Charlotte,CHA vs. WAS,WAS @ CHA
145,11/7/2022,Houston,Orlando,Houston,Orlando,ORL vs. HOU,HOU @ ORL
146,11/7/2022,Oklahoma City,Detroit,Oklahoma City,Detroit,DET vs. OKC,OKC @ DET
147,11/7/2022,New Orleans,Indiana,New Orleans,Indiana,IND vs. NOP,NOP @ IND
148,11/7/2022,Phoenix,Philadelphia,Phoenix,Philadelphia,PHI vs. PHX,PHX @ PHI
149,11/7/2022,Milwaukee,Atlanta,Milwaukee,Atlanta,ATL vs. MIL,MIL @ ATL
150,11/7/2022,Portland,Miami,Portland,Miami,MIA vs. POR,POR @ MIA
151,11/7/2022,Toronto,Chicago,Toronto,Chicago,CHI vs. TOR,TOR @ CHI
152,11/7/2022,Boston,Memphis,Boston,Memphis,MEM vs. BOS,BOS @ MEM
153,11/7/2022,New York,Minnesota,New York,Minnesota,MIN vs. NYK,NYK @ MIN
154,11/7/2022,Denver,San Antonio,Denver,San Antonio,SAS vs. DEN,DEN @ SAS
155,11/7/2022,Brooklyn,Dallas,Brooklyn,Dallas,DAL vs. BKN,BKN @ DAL
156,11/7/2022,Sacramento,Golden State,Sacramento,Golden State,GSW vs. SAC,SAC @ GSW
157,11/7/2022,L.A. Lakers,Utah,LAL,Utah,UTA vs. LAL,LAL @ UTA
158,11/7/2022,Cleveland,LA Clippers,Cleveland,LAC,LAC vs. CLE,CLE @ LAC
159,11/9/2022,Portland,Charlotte,Portland,Charlotte,CHA vs. POR,POR @ CHA
160,11/9/2022,Denver,Indiana,Denver,Indiana,IND vs. DEN,DEN @ IND
161,11/9/2022,Dallas,Orlando,Dallas,Orlando,ORL vs. DAL,DAL @ ORL
162,11/9/2022,Utah,Atlanta,Utah,Atlanta,ATL vs. UTA,UTA @ ATL
163,11/9/2022,Detroit,Boston,Detroit,Boston,BOS vs. DET,DET @ BOS
164,11/9/2022,New York,Brooklyn,New York,Brooklyn,BKN vs. NYK,NYK @ BKN
165,11/9/2022,Houston,Toronto,Houston,Toronto,TOR vs. HOU,HOU @ TOR
166,11/9/2022,New Orleans,Chicago,New Orleans,Chicago,CHI vs. NOP,NOP @ CHI
167,11/9/2022,Phoenix,Minnesota,Phoenix,Minnesota,MIN vs. PHX,PHX @ MIN
168,11/9/2022,Milwaukee,Oklahoma City,Milwaukee,Oklahoma City,OKC vs. MIL,MIL @ OKC
169,11/9/2022,Memphis,San Antonio,Memphis,San Antonio,SAS vs. MEM,MEM @ SAS
170,11/9/2022,L.A. Lakers,LA Clippers,LAL,LAC,LAC vs. LAL,LAL @ LAC
171,11/9/2022,Cleveland,Sacramento,Cleveland,Sacramento,SAC vs. CLE,CLE @ SAC
172,11/10/2022,Dallas,Washington,Dallas,Washington,WAS vs. DAL,DAL @ WAS
173,11/10/2022,Philadelphia,Atlanta,Philadelphia,Atlanta,ATL vs. PHI,PHI @ ATL
174,11/10/2022,Charlotte,Miami,Charlotte,Miami,MIA vs. CHA,CHA @ MIA
175,11/10/2022,Portland,New Orleans,Portland,New Orleans,NOP vs. POR,POR @ NOP
176,11/11/2022,Denver,Boston,Denver,Boston,BOS vs. DEN,DEN @ BOS
177,11/11/2022,Phoenix,Orlando,Phoenix,Orlando,ORL vs. PHX,PHX @ ORL
178,11/11/2022,Detroit,New York,Detroit,New York,NYK vs. DET,DET @ NYK
179,11/11/2022,Toronto,Oklahoma City,Toronto,Oklahoma City,OKC vs. TOR,TOR @ OKC
180,11/11/2022,Milwaukee,San Antonio,Milwaukee,San Antonio,SAS vs. MIL,MIL @ SAS
181,11/11/2022,Minnesota,Memphis,Minnesota,Memphis,MEM vs. MIN,MIN @ MEM
182,11/11/2022,Cleveland,Golden State,Cleveland,Golden State,GSW vs. CLE,CLE @ GSW
183,11/11/2022,Sacramento,L.A. Lakers,Sacramento,LAL,LAL vs. SAC,SAC @ LAL
184,11/12/2022,Brooklyn,LA Clippers,Brooklyn,LAC,LAC vs. BKN,BKN @ LAC
185,11/12/2022,Utah,Washington,Utah,Washington,WAS vs. UTA,UTA @ WAS
186,11/12/2022,Boston,Detroit,Boston,Detroit,DET vs. BOS,BOS @ DET
187,11/12/2022,Toronto,Indiana,Toronto,Indiana,IND vs. TOR,TOR @ IND
188,11/12/2022,Atlanta,Philadelphia,Atlanta,Philadelphia,PHI vs. ATL,ATL @ PHI
189,11/12/2022,Charlotte,Miami,Charlotte,Miami,MIA vs. CHA,CHA @ MIA
190,11/12/2022,Portland,Dallas,Portland,Dallas,DAL vs. POR,POR @ DAL
191,11/12/2022,Houston,New Orleans,Houston,New Orleans,NOP vs. HOU,HOU @ NOP
192,11/13/2022,Oklahoma City,New York,Oklahoma City,New York,NYK vs. OKC,OKC @ NYK
193,11/13/2022,Minnesota,Cleveland,Minnesota,Cleveland,CLE vs. MIN,MIN @ CLE
194,11/13/2022,Memphis,Washington,Memphis,Washington,WAS vs. MEM,MEM @ WAS
195,11/13/2022,Utah,Philadelphia,Utah,Philadelphia,PHI vs. UTA,UTA @ PHI
196,11/13/2022,Denver,Chicago,Denver,Chicago,CHI vs. DEN,DEN @ CHI
197,11/13/2022,Golden State,Sacramento,Golden State,Sacramento,SAC vs. GSW,GSW @ SAC
198,11/13/2022,Brooklyn,L.A. Lakers,Brooklyn,LAL,LAL vs. BKN,BKN @ LAL
199,11/14/2022,Toronto,Detroit,Toronto,Detroit,DET vs. TOR,TOR @ DET
200,11/14/2022,Charlotte,Orlando,Charlotte,Orlando,ORL vs. CHA,CHA @ ORL
201,11/14/2022,Oklahoma City,Boston,Oklahoma City,Boston,BOS vs. OKC,OKC @ BOS
202,11/14/2022,Phoenix,Miami,Phoenix,Miami,MIA vs. PHX,PHX @ MIA
203,11/14/2022,LA Clippers,Houston,LAC,Houston,HOU vs. LAC,LAC @ HOU
204,11/14/2022,Atlanta,Milwaukee,Atlanta,Milwaukee,MIL vs. ATL,ATL @ MIL
205,11/14/2022,San Antonio,Golden State,San Antonio,Golden State,GSW vs. SAS,SAS @ GSW
206,11/15/2022,Memphis,New Orleans,Memphis,New Orleans,NOP vs. MEM,MEM @ NOP
207,11/15/2022,LA Clippers,Dallas,LAC,Dallas,DAL vs. LAC,LAC @ DAL
208,11/15/2022,New York,Utah,New York,Utah,UTA vs. NYK,NYK @ UTA
209,11/15/2022,San Antonio,Portland,San Antonio,Portland,POR vs. SAS,SAS @ POR
210,11/15/2022,Brooklyn,Sacramento,Brooklyn,Sacramento,SAC vs. BKN,BKN @ SAC
211,11/16/2022,Indiana,Charlotte,Indiana,Charlotte,CHA vs. IND,IND @ CHA
212,11/16/2022,Minnesota,Orlando,Minnesota,Orlando,ORL vs. MIN,MIN @ ORL
213,11/16/2022,Oklahoma City,Washington,Oklahoma City,Washington,WAS vs. OKC,OKC @ WAS
214,11/16/2022,Boston,Atlanta,Boston,Atlanta,ATL vs. BOS,BOS @ ATL
215,11/16/2022,Miami,Toronto,Miami,Toronto,TOR vs. MIA,MIA @ TOR
216,11/16/2022,Cleveland,Milwaukee,Cleveland,Milwaukee,MIL vs. CLE,CLE @ MIL
217,11/16/2022,Chicago,New Orleans,Chicago,New Orleans,NOP vs. CHI,CHI @ NOP
218,11/16/2022,Houston,Dallas,Houston,Dallas,DAL vs. HOU,HOU @ DAL
219,11/16/2022,New York,Denver,New York,Denver,DEN vs. NYK,NYK @ DEN
220,11/16/2022,Golden State,Phoenix,Golden State,Phoenix,PHX vs. GSW,GSW @ PHX
221,11/17/2022,Brooklyn,Portland,Brooklyn,Portland,POR vs. BKN,BKN @ POR
222,11/17/2022,San Antonio,Sacramento,San Antonio,Sacramento,SAC vs. SAS,SAS @ SAC
223,11/17/2022,Detroit,LA Clippers,Detroit,LAC,LAC vs. DET,DET @ LAC
224,11/18/2022,Miami,Washington,Miami,Washington,WAS vs. MIA,MIA @ WAS
225,11/18/2022,Charlotte,Cleveland,Charlotte,Cleveland,CLE vs. CHA,CHA @ CLE
226,11/18/2022,Milwaukee,Philadelphia,Milwaukee,Philadelphia,PHI vs. MIL,MIL @ PHI
227,11/18/2022,Orlando,Chicago,Orlando,Chicago,CHI vs. ORL,ORL @ CHI
228,11/18/2022,Indiana,Houston,Indiana,Houston,HOU vs. IND,IND @ HOU
229,11/18/2022,Oklahoma City,Memphis,Oklahoma City,Memphis,MEM vs. OKC,OKC @ MEM
230,11/18/2022,Denver,Dallas,Denver,Dallas,DAL vs. DEN,DEN @ DAL
231,11/18/2022,Boston,New Orleans,Boston,New Orleans,NOP vs. BOS,BOS @ NOP
232,11/18/2022,Phoenix,Utah,Phoenix,Utah,UTA vs. PHX,PHX @ UTA
233,11/18/2022,New York,Golden State,New York,Golden State,GSW vs. NYK,NYK @ GSW
234,11/18/2022,Detroit,L.A. Lakers,Detroit,LAL,LAL vs. DET,DET @ LAL
235,11/19/2022,Toronto,Atlanta,Toronto,Atlanta,ATL vs. TOR,TOR @ ATL
236,11/19/2022,Orlando,Indiana,Orlando,Indiana,IND vs. ORL,ORL @ IND
237,11/19/2022,Minnesota,Philadelphia,Minnesota,Philadelphia,PHI vs. MIN,MIN @ PHI
238,11/19/2022,Utah,Portland,Utah,Portland,POR vs. UTA,UTA @ POR
239,11/19/2022,San Antonio,LA Clippers,San Antonio,LAC,LAC vs. SAS,SAS @ LAC
240,11/20/2022,New York,Phoenix,New York,Phoenix,PHX vs. NYK,NYK @ PHX
241,11/20/2022,Charlotte,Washington,Charlotte,Washington,WAS vs. CHA,CHA @ WAS
242,11/20/2022,Detroit,Sacramento,Detroit,Sacramento,SAC vs. DET,DET @ SAC
243,11/20/2022,Memphis,Brooklyn,Memphis,Brooklyn,BKN vs. MEM,MEM @ BKN
244,11/20/2022,Miami,Cleveland,Miami,Cleveland,CLE vs. MIA,MIA @ CLE
245,11/20/2022,Golden State,Houston,Golden State,Houston,HOU vs. GSW,GSW @ HOU
