GAME,DATE,VISITOR,HOME,VISITOR_a,HOME_a,MATCHUP_HOME,MATCHUP_AWAY
737,1/27/2023,Memphis,Minnesota,Memphis,Minnesota,MIN vs. MEM,MEM @ MIN
738,1/27/2023,Orlando,Miami,Orlando,Miami,MIA vs. ORL,ORL @ MIA
739,1/27/2023,Cleveland,Oklahoma City,Cleveland,Oklahoma City,OKC vs. CLE,CLE @ OKC
740,1/27/2023,Toronto,Golden State,Toronto,Golden State,GSW vs. TOR,TOR @ GSW
741,1/28/2023,Denver,Philadelphia,Denver,Philadelphia,PHI vs. DEN,DEN @ PHI
742,1/28/2023,New York,Brooklyn,New York,Brooklyn,BKN vs. NYK,NYK @ BKN
743,1/28/2023,Houston,Detroit,Houston,Detroit,DET vs. HOU,HOU @ DET
744,1/28/2023,Chicago,Orlando,Chicago,Orlando,ORL vs. CHI,CHI @ ORL
745,1/28/2023,LA Clippers,Atlanta,LAC,Atlanta,ATL vs. LAC,LAC @ ATL
746,1/28/2023,Sacramento,Minnesota,Sacramento,Minnesota,MIN vs. SAC,SAC @ MIN
747,1/28/2023,Washington,New Orleans,Washington,New Orleans,NOP vs. WAS,WAS @ NOP
748,1/28/2023,Phoenix,San Antonio,Phoenix,San Antonio,SAS vs. PHX,PHX @ SAS
749,1/28/2023,L.A. Lakers,Boston,LAL,Boston,BOS vs. LAL,LAL @ BOS
750,1/28/2023,Dallas,Utah,Dallas,Utah,UTA vs. DAL,DAL @ UTA
751,1/28/2023,Toronto,Portland,Toronto,Portland,POR vs. TOR,TOR @ POR
752,1/29/2023,Miami,Charlotte,Miami,Charlotte,CHA vs. MIA,MIA @ CHA
753,1/29/2023,Indiana,Memphis,Indiana,Memphis,MEM vs. IND,IND @ MEM
754,1/29/2023,LA Clippers,Cleveland,LAC,Cleveland,CLE vs. LAC,LAC @ CLE
755,1/29/2023,New Orleans,Milwaukee,New Orleans,Milwaukee,MIL vs. NOP,NOP @ MIL
756,1/30/2023,Orlando,Philadelphia,Orlando,Philadelphia,PHI vs. ORL,ORL @ PHI
757,1/30/2023,L.A. Lakers,Brooklyn,LAL,Brooklyn,BKN vs. LAL,LAL @ BKN
758,1/30/2023,Sacramento,Minnesota,Sacramento,Minnesota,MIN vs. SAC,SAC @ MIN
759,1/30/2023,Golden State,Oklahoma City,Golden State,Oklahoma City,OKC vs. GSW,GSW @ OKC
760,1/30/2023,Washington,San Antonio,Washington,San Antonio,SAS vs. WAS,WAS @ SAS
761,1/30/2023,Detroit,Dallas,Detroit,Dallas,DAL vs. DET,DET @ DAL
762,1/30/2023,Toronto,Phoenix,Toronto,Phoenix,PHX vs. TOR,TOR @ PHX
763,1/30/2023,Atlanta,Portland,Atlanta,Portland,POR vs. ATL,ATL @ POR
764,1/31/2023,Miami,Cleveland,Miami,Cleveland,CLE vs. MIA,MIA @ CLE
765,1/31/2023,L.A. Lakers,New York,LAL,New York,NYK vs. LAL,LAL @ NYK
766,1/31/2023,LA Clippers,Chicago,LAC,Chicago,CHI vs. LAC,LAC @ CHI
767,1/31/2023,Charlotte,Milwaukee,Charlotte,Milwaukee,MIL vs. CHA,CHA @ MIL
768,1/31/2023,New Orleans,Denver,New Orleans,Denver,DEN vs. NOP,NOP @ DEN
769,2/1/2023,Washington,Detroit,Washington,Detroit,DET vs. WAS,WAS @ DET
770,2/1/2023,Orlando,Philadelphia,Orlando,Philadelphia,PHI vs. ORL,ORL @ PHI
771,2/1/2023,Portland,Memphis,Portland,Memphis,MEM vs. POR,POR @ MEM
772,2/1/2023,Brooklyn,Boston,Brooklyn,Boston,BOS vs. BKN,BKN @ BOS
773,2/1/2023,Oklahoma City,Houston,Oklahoma City,Houston,HOU vs. OKC,OKC @ HOU
774,2/1/2023,Golden State,Minnesota,Golden State,Minnesota,MIN vs. GSW,GSW @ MIN
775,2/1/2023,Sacramento,San Antonio,Sacramento,San Antonio,SAS vs. SAC,SAC @ SAS
776,2/1/2023,Toronto,Utah,Toronto,Utah,UTA vs. TOR,TOR @ UTA
777,2/1/2023,Atlanta,Phoenix,Atlanta,Phoenix,PHX vs. ATL,ATL @ PHX
778,2/2/2023,L.A. Lakers,Indiana,LAL,Indiana,IND vs. LAL,LAL @ IND
779,2/2/2023,Memphis,Cleveland,Memphis,Cleveland,CLE vs. MEM,MEM @ CLE
780,2/2/2023,Miami,New York,Miami,New York,NYK vs. MIA,MIA @ NYK
781,2/2/2023,Charlotte,Chicago,Charlotte,Chicago,CHI vs. CHA,CHA @ CHI
782,2/2/2023,New Orleans,Dallas,New Orleans,Dallas,DAL vs. NOP,NOP @ DAL
783,2/2/2023,Golden State,Denver,Golden State,Denver,DEN vs. GSW,GSW @ DEN
784,2/2/2023,LA Clippers,Milwaukee,LAC,Milwaukee,MIL vs. LAC,LAC @ MIL
785,2/3/2023,Charlotte,Detroit,Charlotte,Detroit,DET vs. CHA,CHA @ DET
786,2/3/2023,Sacramento,Indiana,Sacramento,Indiana,IND vs. SAC,SAC @ IND
787,2/3/2023,Portland,Washington,Portland,Washington,WAS vs. POR,POR @ WAS
788,2/3/2023,Phoenix,Boston,Phoenix,Boston,BOS vs. PHX,PHX @ BOS
789,2/3/2023,Toronto,Houston,Toronto,Houston,HOU vs. TOR,TOR @ HOU
790,2/3/2023,Orlando,Minnesota,Orlando,Minnesota,MIN vs. ORL,ORL @ MIN
791,2/3/2023,Philadelphia,San Antonio,Philadelphia,San Antonio,SAS vs. PHI,PHI @ SAS
792,2/3/2023,Atlanta,Utah,Atlanta,Utah,UTA vs. ATL,ATL @ UTA
793,2/4/2023,Washington,Brooklyn,Washington,Brooklyn,BKN vs. WAS,WAS @ BKN
794,2/4/2023,Phoenix,Detroit,Phoenix,Detroit,DET vs. PHX,PHX @ DET
795,2/4/2023,LA Clippers,New York,LAC,New York,NYK vs. LAC,LAC @ NYK
796,2/4/2023,Portland,Chicago,Portland,Chicago,CHI vs. POR,POR @ CHI
797,2/4/2023,Miami,Milwaukee,Miami,Milwaukee,MIL vs. MIA,MIA @ MIL
798,2/4/2023,L.A. Lakers,New Orleans,LAL,New Orleans,NOP vs. LAL,LAL @ NOP
799,2/4/2023,Houston,Oklahoma City,Houston,Oklahoma City,OKC vs. HOU,HOU @ OKC
800,2/4/2023,Dallas,Golden State,Dallas,Golden State,GSW vs. DAL,DAL @ GSW
801,2/4/2023,Atlanta,Denver,Atlanta,Denver,DEN vs. ATL,ATL @ DEN
802,2/5/2023,Orlando,Charlotte,Orlando,Charlotte,CHA vs. ORL,ORL @ CHA
803,2/5/2023,Cleveland,Indiana,Cleveland,Indiana,IND vs. CLE,CLE @ IND
804,2/5/2023,Philadelphia,New York,Philadelphia,New York,NYK vs. PHI,PHI @ NYK
805,2/5/2023,Toronto,Memphis,Toronto,Memphis,MEM vs. TOR,TOR @ MEM
806,2/5/2023,Denver,Minnesota,Denver,Minnesota,MIN vs. DEN,DEN @ MIN
807,2/5/2023,Sacramento,New Orleans,Sacramento,New Orleans,NOP vs. SAC,SAC @ NOP
808,2/6/2023,Boston,Detroit,Boston,Detroit,DET vs. BOS,BOS @ DET
809,2/6/2023,Cleveland,Washington,Cleveland,Washington,WAS vs. CLE,CLE @ WAS
810,2/6/2023,LA Clippers,Brooklyn,LAC,Brooklyn,BKN vs. LAC,LAC @ BKN
811,2/6/2023,San Antonio,Chicago,San Antonio,Chicago,CHI vs. SAS,SAS @ CHI
812,2/6/2023,Sacramento,Houston,Sacramento,Houston,HOU vs. SAC,SAC @ HOU
813,2/6/2023,Dallas,Utah,Dallas,Utah,UTA vs. DAL,DAL @ UTA
814,2/6/2023,Oklahoma City,Golden State,Oklahoma City,Golden State,GSW vs. OKC,OKC @ GSW
815,2/6/2023,Milwaukee,Portland,Milwaukee,Portland,POR vs. MIL,MIL @ POR
816,2/7/2023,New York,Orlando,New York,Orlando,ORL vs. NYK,NYK @ ORL
817,2/7/2023,Phoenix,Brooklyn,Phoenix,Brooklyn,BKN vs. PHX,PHX @ BKN
818,2/7/2023,Atlanta,New Orleans,Atlanta,New Orleans,NOP vs. ATL,ATL @ NOP
819,2/7/2023,Chicago,Memphis,Chicago,Memphis,MEM vs. CHI,CHI @ MEM
820,2/7/2023,Minnesota,Denver,Minnesota,Denver,DEN vs. MIN,MIN @ DEN
821,2/7/2023,Oklahoma City,L.A. Lakers,Oklahoma City,LAL,LAL vs. OKC,OKC @ LAL
822,2/8/2023,Detroit,Cleveland,Detroit,Cleveland,CLE vs. DET,DET @ CLE
823,2/8/2023,Charlotte,Washington,Charlotte,Washington,WAS vs. CHA,CHA @ WAS
824,2/8/2023,Philadelphia,Boston,Philadelphia,Boston,BOS vs. PHI,PHI @ BOS
825,2/8/2023,Indiana,Miami,Indiana,Miami,MIA vs. IND,IND @ MIA
826,2/8/2023,San Antonio,Toronto,San Antonio,Toronto,TOR vs. SAS,SAS @ TOR
827,2/8/2023,Sacramento,Houston,Sacramento,Houston,HOU vs. SAC,SAC @ HOU
828,2/8/2023,Minnesota,Utah,Minnesota,Utah,UTA vs. MIN,MIN @ UTA
829,2/8/2023,Dallas,LA Clippers,Dallas,LAC,LAC vs. DAL,DAL @ LAC
830,2/8/2023,Golden State,Portland,Golden State,Portland,POR vs. GSW,GSW @ POR
831,2/9/2023,Denver,Orlando,Denver,Orlando,ORL vs. DEN,DEN @ ORL
832,2/9/2023,Phoenix,Atlanta,Phoenix,Atlanta,ATL vs. PHX,PHX @ ATL
833,2/9/2023,Chicago,Brooklyn,Chicago,Brooklyn,BKN vs. CHI,CHI @ BKN
834,2/9/2023,Milwaukee,L.A. Lakers,Milwaukee,LAL,LAL vs. MIL,MIL @ LAL
835,2/10/2023,San Antonio,Detroit,San Antonio,Detroit,DET vs. SAS,SAS @ DET
836,2/10/2023,Phoenix,Indiana,Phoenix,Indiana,IND vs. PHX,PHX @ IND
837,2/10/2023,New York,Philadelphia,New York,Philadelphia,PHI vs. NYK,NYK @ PHI
838,2/10/2023,Charlotte,Boston,Charlotte,Boston,BOS vs. CHA,CHA @ BOS
839,2/10/2023,Utah,Toronto,Utah,Toronto,TOR vs. UTA,UTA @ TOR
840,2/10/2023,Houston,Miami,Houston,Miami,MIA vs. HOU,HOU @ MIA
841,2/10/2023,Minnesota,Memphis,Minnesota,Memphis,MEM vs. MIN,MIN @ MEM
842,2/10/2023,Cleveland,New Orleans,Cleveland,New Orleans,NOP vs. CLE,CLE @ NOP
843,2/10/2023,Oklahoma City,Portland,Oklahoma City,Portland,POR vs. OKC,OKC @ POR
844,2/10/2023,Dallas,Sacramento,Dallas,Sacramento,SAC vs. DAL,DAL @ SAC
845,2/10/2023,Milwaukee,LA Clippers,Milwaukee,LAC,LAC vs. MIL,MIL @ LAC
846,2/11/2023,Philadelphia,Brooklyn,Philadelphia,Brooklyn,BKN vs. PHI,PHI @ BKN
847,2/11/2023,Denver,Charlotte,Denver,Charlotte,CHA vs. DEN,DEN @ CHA
848,2/11/2023,Miami,Orlando,Miami,Orlando,ORL vs. MIA,MIA @ ORL
849,2/11/2023,Indiana,Washington,Indiana,Washington,WAS vs. IND,IND @ WAS
850,2/11/2023,San Antonio,Atlanta,San Antonio,Atlanta,ATL vs. SAS,SAS @ ATL
851,2/11/2023,Utah,New York,Utah,New York,NYK vs. UTA,UTA @ NYK
852,2/11/2023,Chicago,Cleveland,Chicago,Cleveland,CLE vs. CHI,CHI @ CLE
853,2/11/2023,L.A. Lakers,Golden State,LAL,Golden State,GSW vs. LAL,LAL @ GSW
854,2/11/2023,Dallas,Sacramento,Dallas,Sacramento,SAC vs. DAL,DAL @ SAC
855,2/12/2023,Memphis,Boston,Memphis,Boston,BOS vs. MEM,MEM @ BOS
856,2/12/2023,Detroit,Toronto,Detroit,Toronto,TOR vs. DET,DET @ TOR
857,2/13/2023,Atlanta,Charlotte,Atlanta,Charlotte,CHA vs. ATL,ATL @ CHA
858,2/13/2023,San Antonio,Cleveland,San Antonio,Cleveland,CLE vs. SAS,SAS @ CLE
859,2/13/2023,Utah,Indiana,Utah,Indiana,IND vs. UTA,UTA @ IND
860,2/13/2023,Houston,Philadelphia,Houston,Philadelphia,PHI vs. HOU,HOU @ PHI
861,2/13/2023,Denver,Miami,Denver,Miami,MIA vs. DEN,DEN @ MIA
862,2/13/2023,Brooklyn,New York,Brooklyn,New York,NYK vs. BKN,BKN @ NYK
863,2/13/2023,Orlando,Chicago,Orlando,Chicago,CHI vs. ORL,ORL @ CHI
864,2/13/2023,New Orleans,Oklahoma City,New Orleans,Oklahoma City,OKC vs. NOP,NOP @ OKC
865,2/13/2023,Minnesota,Dallas,Minnesota,Dallas,DAL vs. MIN,MIN @ DAL
866,2/13/2023,Washington,Golden State,Washington,Golden State,GSW vs. WAS,WAS @ GSW
867,2/13/2023,L.A. Lakers,Portland,LAL,Portland,POR vs. LAL,LAL @ POR
868,2/14/2023,Orlando,Toronto,Orlando,Toronto,TOR vs. ORL,ORL @ TOR
869,2/14/2023,Boston,Milwaukee,Boston,Milwaukee,MIL vs. BOS,BOS @ MIL
870,2/14/2023,Sacramento,Phoenix,Sacramento,Phoenix,PHX vs. SAC,SAC @ PHX
871,2/14/2023,Golden State,LA Clippers,Golden State,LAC,LAC vs. GSW,GSW @ LAC
872,2/14/2023,Washington,Portland,Washington,Portland,POR vs. WAS,WAS @ POR
873,2/15/2023,San Antonio,Charlotte,San Antonio,Charlotte,CHA vs. SAS,SAS @ CHA
874,2/15/2023,Chicago,Indiana,Chicago,Indiana,IND vs. CHI,CHI @ IND
875,2/15/2023,Cleveland,Philadelphia,Cleveland,Philadelphia,PHI vs. CLE,CLE @ PHI
876,2/15/2023,New York,Atlanta,New York,Atlanta,ATL vs. NYK,NYK @ ATL
877,2/15/2023,Detroit,Boston,Detroit,Boston,BOS vs. DET,DET @ BOS
878,2/15/2023,Miami,Brooklyn,Miami,Brooklyn,BKN vs. MIA,MIA @ BKN
879,2/15/2023,Utah,Memphis,Utah,Memphis,MEM vs. UTA,UTA @ MEM
880,2/15/2023,Houston,Oklahoma City,Houston,Oklahoma City,OKC vs. HOU,HOU @ OKC
881,2/15/2023,Dallas,Denver,Dallas,Denver,DEN vs. DAL,DAL @ DEN
882,2/15/2023,New Orleans,L.A. Lakers,New Orleans,LAL,LAL vs. NOP,NOP @ LAL
883,2/16/2023,Milwaukee,Chicago,Milwaukee,Chicago,CHI vs. MIL,MIL @ CHI
884,2/16/2023,Washington,Minnesota,Washington,Minnesota,MIN vs. WAS,WAS @ MIN
885,2/16/2023,LA Clippers,Phoenix,LAC,Phoenix,PHX vs. LAC,LAC @ PHX
886,2/23/2023,Denver,Cleveland,Denver,Cleveland,CLE vs. DEN,DEN @ CLE
887,2/23/2023,Boston,Indiana,Boston,Indiana,IND vs. BOS,BOS @ IND
888,2/23/2023,Detroit,Orlando,Detroit,Orlando,ORL vs. DET,DET @ ORL
889,2/23/2023,Memphis,Philadelphia,Memphis,Philadelphia,PHI vs. MEM,MEM @ PHI
890,2/23/2023,New Orleans,Toronto,New Orleans,Toronto,TOR vs. NOP,NOP @ TOR
891,2/23/2023,San Antonio,Dallas,San Antonio,Dallas,DAL vs. SAS,SAS @ DAL
892,2/23/2023,Oklahoma City,Utah,Oklahoma City,Utah,UTA vs. OKC,OKC @ UTA
893,2/23/2023,Golden State,L.A. Lakers,Golden State,LAL,LAL vs. GSW,GSW @ LAL
894,2/23/2023,Portland,Sacramento,Portland,Sacramento,SAC vs. POR,POR @ SAC
895,2/24/2023,New York,Washington,New York,Washington,WAS vs. NYK,NYK @ WAS
896,2/24/2023,Cleveland,Atlanta,Cleveland,Atlanta,ATL vs. CLE,CLE @ ATL
897,2/24/2023,Miami,Milwaukee,Miami,Milwaukee,MIL vs. MIA,MIA @ MIL
898,2/24/2023,Charlotte,Minnesota,Charlotte,Minnesota,MIN vs. CHA,CHA @ MIN
899,2/24/2023,Oklahoma City,Phoenix,Oklahoma City,Phoenix,PHX vs. OKC,OKC @ PHX
900,2/24/2023,Brooklyn,Chicago,Brooklyn,Chicago,CHI vs. BKN,BKN @ CHI
901,2/24/2023,Houston,Golden State,Houston,Golden State,GSW vs. HOU,HOU @ GSW
902,2/24/2023,Sacramento,LA Clippers,Sacramento,LAC,LAC vs. SAC,SAC @ LAC
903,2/25/2023,Toronto,Detroit,Toronto,Detroit,DET vs. TOR,TOR @ DET
904,2/25/2023,Miami,Charlotte,Miami,Charlotte,CHA vs. MIA,MIA @ CHA
905,2/25/2023,Indiana,Orlando,Indiana,Orlando,ORL vs. IND,IND @ ORL
906,2/25/2023,New Orleans,New York,New Orleans,New York,NYK vs. NOP,NOP @ NYK
907,2/25/2023,Denver,Memphis,Denver,Memphis,MEM vs. DEN,DEN @ MEM
908,2/25/2023,Boston,Philadelphia,Boston,Philadelphia,PHI vs. BOS,BOS @ PHI
909,2/25/2023,San Antonio,Utah,San Antonio,Utah,UTA vs. SAS,SAS @ UTA
910,2/26/2023,Phoenix,Milwaukee,Phoenix,Milwaukee,MIL vs. PHX,PHX @ MIL
911,2/26/2023,Brooklyn,Atlanta,Brooklyn,Atlanta,ATL vs. BKN,BKN @ ATL
912,2/26/2023,Washington,Chicago,Washington,Chicago,CHI vs. WAS,WAS @ CHI
913,2/26/2023,L.A. Lakers,Dallas,LAL,Dallas,DAL vs. LAL,LAL @ DAL
914,2/26/2023,Toronto,Cleveland,Toronto,Cleveland,CLE vs. TOR,TOR @ CLE
915,2/26/2023,Sacramento,Oklahoma City,Sacramento,Oklahoma City,OKC vs. SAC,SAC @ OKC
916,2/26/2023,Minnesota,Golden State,Minnesota,Golden State,GSW vs. MIN,MIN @ GSW
917,2/26/2023,Houston,Portland,Houston,Portland,POR vs. HOU,HOU @ POR
918,2/26/2023,LA Clippers,Denver,LAC,Denver,DEN vs. LAC,LAC @ DEN
919,2/27/2023,Detroit,Charlotte,Detroit,Charlotte,CHA vs. DET,DET @ CHA
920,2/27/2023,Miami,Philadelphia,Miami,Philadelphia,PHI vs. MIA,MIA @ PHI
921,2/27/2023,Boston,New York,Boston,New York,NYK vs. BOS,BOS @ NYK
922,2/27/2023,Orlando,New Orleans,Orlando,New Orleans,NOP vs. ORL,ORL @ NOP
923,2/28/2023,Washington,Atlanta,Washington,Atlanta,ATL vs. WAS,WAS @ ATL
924,2/28/2023,Milwaukee,Brooklyn,Milwaukee,Brooklyn,BKN vs. MIL,MIL @ BKN
925,2/28/2023,Chicago,Toronto,Chicago,Toronto,TOR vs. CHI,CHI @ TOR
926,2/28/2023,Denver,Houston,Denver,Houston,HOU vs. DEN,DEN @ HOU
927,2/28/2023,L.A. Lakers,Memphis,LAL,Memphis,MEM vs. LAL,LAL @ MEM
928,2/28/2023,Sacramento,Oklahoma City,Sacramento,Oklahoma City,OKC vs. SAC,SAC @ OKC
929,2/28/2023,Indiana,Dallas,Indiana,Dallas,DAL vs. IND,IND @ DAL
930,2/28/2023,San Antonio,Utah,San Antonio,Utah,UTA vs. SAS,SAS @ UTA
931,2/28/2023,Portland,Golden State,Portland,Golden State,GSW vs. POR,POR @ GSW
932,2/28/2023,Minnesota,LA Clippers,Minnesota,LAC,LAC vs. MIN,MIN @ LAC
933,3/1/2023,Phoenix,Charlotte,Phoenix,Charlotte,CHA vs. PHX,PHX @ CHA
934,3/1/2023,Chicago,Detroit,Chicago,Detroit,DET vs. CHI,CHI @ DET
935,3/1/2023,Cleveland,Boston,Cleveland,Boston,BOS vs. CLE,CLE @ BOS
936,3/1/2023,Philadelphia,Miami,Philadelphia,Miami,MIA vs. PHI,PHI @ MIA
937,3/1/2023,Brooklyn,New York,Brooklyn,New York,NYK vs. BKN,BKN @ NYK
938,3/1/2023,Memphis,Houston,Memphis,Houston,HOU vs. MEM,MEM @ HOU
939,3/1/2023,Orlando,Milwaukee,Orlando,Milwaukee,MIL vs. ORL,ORL @ MIL
940,3/1/2023,L.A. Lakers,Oklahoma City,LAL,Oklahoma City,OKC vs. LAL,LAL @ OKC
941,3/1/2023,New Orleans,Portland,New Orleans,Portland,POR vs. NOP,NOP @ POR
942,3/2/2023,Toronto,Washington,Toronto,Washington,WAS vs. TOR,TOR @ WAS
943,3/2/2023,Philadelphia,Dallas,Philadelphia,Dallas,DAL vs. PHI,PHI @ DAL
944,3/2/2023,Indiana,San Antonio,Indiana,San Antonio,SAS vs. IND,IND @ SAS
945,3/2/2023,LA Clippers,Golden State,LAC,Golden State,GSW vs. LAC,LAC @ GSW
946,3/3/2023,Orlando,Charlotte,Orlando,Charlotte,CHA vs. ORL,ORL @ CHA
947,3/3/2023,Portland,Atlanta,Portland,Atlanta,ATL vs. POR,POR @ ATL
948,3/3/2023,Brooklyn,Boston,Brooklyn,Boston,BOS vs. BKN,BKN @ BOS
949,3/3/2023,New York,Miami,New York,Miami,MIA vs. NYK,NYK @ MIA
950,3/3/2023,Phoenix,Chicago,Phoenix,Chicago,CHI vs. PHX,PHX @ CHI
951,3/3/2023,Utah,Oklahoma City,Utah,Oklahoma City,OKC vs. UTA,UTA @ OKC
952,3/3/2023,Memphis,Denver,Memphis,Denver,DEN vs. MEM,MEM @ DEN
953,3/3/2023,New Orleans,Golden State,New Orleans,Golden State,GSW vs. NOP,NOP @ GSW
954,3/3/2023,LA Clippers,Sacramento,LAC,Sacramento,SAC vs. LAC,LAC @ SAC
955,3/3/2023,Minnesota,L.A. Lakers,Minnesota,LAL,LAL vs. MIN,MIN @ LAL
956,3/4/2023,Toronto,Washington,Toronto,Washington,WAS vs. TOR,TOR @ WAS
957,3/4/2023,Detroit,Cleveland,Detroit,Cleveland,CLE vs. DET,DET @ CLE
958,3/4/2023,Atlanta,Miami,Atlanta,Miami,MIA vs. ATL,ATL @ MIA
959,3/4/2023,Houston,San Antonio,Houston,San Antonio,SAS vs. HOU,HOU @ SAS
960,3/4/2023,Philadelphia,Milwaukee,Philadelphia,Milwaukee,MIL vs. PHI,PHI @ MIL
961,3/4/2023,Minnesota,Sacramento,Minnesota,Sacramento,SAC vs. MIN,MIN @ SAC
962,3/5/2023,Phoenix,Dallas,Phoenix,Dallas,DAL vs. PHX,PHX @ DAL
963,3/5/2023,Indiana,Chicago,Indiana,Chicago,CHI vs. IND,IND @ CHI
964,3/5/2023,Golden State,L.A. Lakers,Golden State,LAL,LAL vs. GSW,GSW @ LAL
965,3/5/2023,Charlotte,Brooklyn,Charlotte,Brooklyn,BKN vs. CHA,CHA @ BKN
966,3/5/2023,Portland,Orlando,Portland,Orlando,ORL vs. POR,POR @ ORL
967,3/5/2023,San Antonio,Houston,San Antonio,Houston,HOU vs. SAS,SAS @ HOU
968,3/5/2023,Utah,Oklahoma City,Utah,Oklahoma City,OKC vs. UTA,UTA @ OKC
969,3/5/2023,New York,Boston,New York,Boston,BOS vs. NYK,NYK @ BOS
970,3/5/2023,Memphis,LA Clippers,Memphis,LAC,LAC vs. MEM,MEM @ LAC
971,3/6/2023,Boston,Cleveland,Boston,Cleveland,CLE vs. BOS,BOS @ CLE
972,3/6/2023,Philadelphia,Indiana,Philadelphia,Indiana,IND vs. PHI,PHI @ IND
973,3/6/2023,Milwaukee,Washington,Milwaukee,Washington,WAS vs. MIL,MIL @ WAS
974,3/6/2023,Atlanta,Miami,Atlanta,Miami,MIA vs. ATL,ATL @ MIA
975,3/6/2023,Toronto,Denver,Toronto,Denver,DEN vs. TOR,TOR @ DEN
976,3/6/2023,New Orleans,Sacramento,New Orleans,Sacramento,SAC vs. NOP,NOP @ SAC
977,3/7/2023,Portland,Detroit,Portland,Detroit,DET vs. POR,POR @ DET
978,3/7/2023,Milwaukee,Orlando,Milwaukee,Orlando,ORL vs. MIL,MIL @ ORL
979,3/7/2023,Charlotte,New York,Charlotte,New York,NYK vs. CHA,CHA @ NYK
980,3/7/2023,Philadelphia,Minnesota,Philadelphia,Minnesota,MIN vs. PHI,PHI @ MIN
981,3/7/2023,Brooklyn,Houston,Brooklyn,Houston,HOU vs. BKN,BKN @ HOU
982,3/7/2023,Golden State,Oklahoma City,Golden State,Oklahoma City,OKC vs. GSW,GSW @ OKC
983,3/7/2023,Utah,Dallas,Utah,Dallas,DAL vs. UTA,UTA @ DAL
984,3/7/2023,Memphis,L.A. Lakers,Memphis,LAL,LAL vs. MEM,MEM @ LAL
