GAME,DATE,VISITOR,HOME,VISITOR_a,HOME_a,MATCHUP_HOME,MATCHUP_AWAY
985,3/8/2023,Atlanta,Washington,Atlanta,Washington,WAS vs. ATL,ATL @ WAS
986,3/8/2023,Portland,Boston,Portland,Boston,BOS vs. POR,POR @ BOS
987,3/8/2023,Cleveland,Miami,Cleveland,Miami,MIA vs. CLE,CLE @ MIA
988,3/8/2023,Dallas,New Orleans,Dallas,New Orleans,NOP vs. DAL,DAL @ NOP
989,3/8/2023,Chicago,Denver,Chicago,Denver,DEN vs. CHI,CHI @ DEN
990,3/8/2023,Oklahoma City,Phoenix,Oklahoma City,Phoenix,PHX vs. OKC,OKC @ PHX
991,3/8/2023,Toronto,LA Clippers,Toronto,LAC,LAC vs. TOR,TOR @ LAC
992,3/9/2023,Charlotte,Detroit,Charlotte,Detroit,DET vs. CHA,CHA @ DET
993,3/9/2023,Houston,Indiana,Houston,Indiana,IND vs. HOU,HOU @ IND
994,3/9/2023,Utah,Orlando,Utah,Orlando,ORL vs. UTA,UTA @ ORL
995,3/9/2023,Brooklyn,Milwaukee,Brooklyn,Milwaukee,MIL vs. BKN,BKN @ MIL
996,3/9/2023,Golden State,Memphis,Golden State,Memphis,MEM vs. GSW,GSW @ MEM
997,3/9/2023,New York,Sacramento,New York,Sacramento,SAC vs. NYK,NYK @ SAC
998,3/10/2023,Portland,Philadelphia,Portland,Philadelphia,PHI vs. POR,POR @ PHI
999,3/10/2023,Atlanta,Washington,Atlanta,Washington,WAS vs. ATL,ATL @ WAS
1000,3/10/2023,Cleveland,Miami,Cleveland,Miami,MIA vs. CLE,CLE @ MIA
1001,3/10/2023,Brooklyn,Minnesota,Brooklyn,Minnesota,MIN vs. BKN,BKN @ MIN
1002,3/10/2023,Denver,San Antonio,Denver,San Antonio,SAS vs. DEN,DEN @ SAS
1003,3/10/2023,Toronto,L.A. Lakers,Toronto,LAL,LAL vs. TOR,TOR @ LAL
1004,3/11/2023,New York,LA Clippers,New York,LAC,LAC vs. NYK,NYK @ LAC
1005,3/11/2023,Utah,Charlotte,Utah,Charlotte,CHA vs. UTA,UTA @ CHA
1006,3/11/2023,Indiana,Detroit,Indiana,Detroit,DET vs. IND,IND @ DET
1007,3/11/2023,Miami,Orlando,Miami,Orlando,ORL vs. MIA,MIA @ ORL
1008,3/11/2023,Boston,Atlanta,Boston,Atlanta,ATL vs. BOS,BOS @ ATL
1009,3/11/2023,Chicago,Houston,Chicago,Houston,HOU vs. CHI,CHI @ HOU
1010,3/11/2023,Dallas,Memphis,Dallas,Memphis,MEM vs. DAL,DAL @ MEM
1011,3/11/2023,Oklahoma City,New Orleans,Oklahoma City,New Orleans,NOP vs. OKC,OKC @ NOP
1012,3/11/2023,Milwaukee,Golden State,Milwaukee,Golden State,GSW vs. MIL,MIL @ GSW
1013,3/11/2023,Sacramento,Phoenix,Sacramento,Phoenix,PHX vs. SAC,SAC @ PHX
1014,3/12/2023,Brooklyn,Denver,Brooklyn,Denver,DEN vs. BKN,BKN @ DEN
1015,3/12/2023,Cleveland,Charlotte,Cleveland,Charlotte,CHA vs. CLE,CLE @ CHA
1016,3/12/2023,Washington,Philadelphia,Washington,Philadelphia,PHI vs. WAS,WAS @ PHI
1017,3/12/2023,Portland,New Orleans,Portland,New Orleans,NOP vs. POR,POR @ NOP
1018,3/12/2023,Oklahoma City,San Antonio,Oklahoma City,San Antonio,SAS vs. OKC,OKC @ SAS
1019,3/12/2023,New York,L.A. Lakers,New York,LAL,LAL vs. NYK,NYK @ LAL
1020,3/13/2023,Indiana,Detroit,Indiana,Detroit,DET vs. IND,IND @ DET
1021,3/13/2023,Minnesota,Atlanta,Minnesota,Atlanta,ATL vs. MIN,MIN @ ATL
1022,3/13/2023,Utah,Miami,Utah,Miami,MIA vs. UTA,UTA @ MIA
1023,3/13/2023,Memphis,Dallas,Memphis,Dallas,DAL vs. MEM,MEM @ DAL
1024,3/13/2023,Boston,Houston,Boston,Houston,HOU vs. BOS,BOS @ HOU
1025,3/13/2023,Phoenix,Golden State,Phoenix,Golden State,GSW vs. PHX,PHX @ GSW
1026,3/13/2023,Milwaukee,Sacramento,Milwaukee,Sacramento,SAC vs. MIL,MIL @ SAC
1027,3/14/2023,Cleveland,Charlotte,Cleveland,Charlotte,CHA vs. CLE,CLE @ CHA
1028,3/14/2023,Detroit,Washington,Detroit,Washington,WAS vs. DET,DET @ WAS
1029,3/14/2023,Denver,Toronto,Denver,Toronto,TOR vs. DEN,DEN @ TOR
1030,3/14/2023,L.A. Lakers,New Orleans,LAL,New Orleans,NOP vs. LAL,LAL @ NOP
1031,3/14/2023,Brooklyn,Oklahoma City,Brooklyn,Oklahoma City,OKC vs. BKN,BKN @ OKC
1032,3/14/2023,Orlando,San Antonio,Orlando,San Antonio,SAS vs. ORL,ORL @ SAS
1033,3/14/2023,Milwaukee,Phoenix,Milwaukee,Phoenix,PHX vs. MIL,MIL @ PHX
1034,3/14/2023,New York,Portland,New York,Portland,POR vs. NYK,NYK @ POR
1035,3/15/2023,Philadelphia,Cleveland,Philadelphia,Cleveland,CLE vs. PHI,PHI @ CLE
1036,3/15/2023,Memphis,Miami,Memphis,Miami,MIA vs. MEM,MEM @ MIA
1037,3/15/2023,Sacramento,Chicago,Sacramento,Chicago,CHI vs. SAC,SAC @ CHI
1038,3/15/2023,L.A. Lakers,Houston,LAL,Houston,HOU vs. LAL,LAL @ HOU
1039,3/15/2023,Boston,Minnesota,Boston,Minnesota,MIN vs. BOS,BOS @ MIN
1040,3/15/2023,Dallas,San Antonio,Dallas,San Antonio,SAS vs. DAL,DAL @ SAS
1041,3/15/2023,Golden State,LA Clippers,Golden State,LAC,LAC vs. GSW,GSW @ LAC
1042,3/16/2023,Denver,Detroit,Denver,Detroit,DET vs. DEN,DEN @ DET
1043,3/16/2023,Sacramento,Brooklyn,Sacramento,Brooklyn,BKN vs. SAC,SAC @ BKN
1044,3/16/2023,Oklahoma City,Toronto,Oklahoma City,Toronto,TOR vs. OKC,OKC @ TOR
1045,3/16/2023,Indiana,Milwaukee,Indiana,Milwaukee,MIL vs. IND,IND @ MIL
1046,3/16/2023,Orlando,Phoenix,Orlando,Phoenix,PHX vs. ORL,ORL @ PHX
1047,3/17/2023,Philadelphia,Charlotte,Philadelphia,Charlotte,CHA vs. PHI,PHI @ CHA
1048,3/17/2023,Golden State,Atlanta,Golden State,Atlanta,ATL vs. GSW,GSW @ ATL
1049,3/17/2023,Washington,Cleveland,Washington,Cleveland,CLE vs. WAS,WAS @ CLE
1050,3/17/2023,Minnesota,Chicago,Minnesota,Chicago,CHI vs. MIN,MIN @ CHI
1051,3/17/2023,New Orleans,Houston,New Orleans,Houston,HOU vs. NOP,NOP @ HOU
1052,3/17/2023,Memphis,San Antonio,Memphis,San Antonio,SAS vs. MEM,MEM @ SAS
1053,3/17/2023,Boston,Portland,Boston,Portland,POR vs. BOS,BOS @ POR
1054,3/17/2023,Dallas,L.A. Lakers,Dallas,LAL,LAL vs. DAL,DAL @ LAL
1055,3/18/2023,Denver,New York,Denver,New York,NYK vs. DEN,DEN @ NYK
1056,3/18/2023,Orlando,LA Clippers,Orlando,LAC,LAC vs. ORL,ORL @ LAC
1057,3/18/2023,Philadelphia,Indiana,Philadelphia,Indiana,IND vs. PHI,PHI @ IND
1058,3/18/2023,Minnesota,Toronto,Minnesota,Toronto,TOR vs. MIN,MIN @ TOR
1059,3/18/2023,Sacramento,Washington,Sacramento,Washington,WAS vs. SAC,SAC @ WAS
1060,3/18/2023,Miami,Chicago,Miami,Chicago,CHI vs. MIA,MIA @ CHI
1061,3/18/2023,Golden State,Memphis,Golden State,Memphis,MEM vs. GSW,GSW @ MEM
1062,3/18/2023,Boston,Utah,Boston,Utah,UTA vs. BOS,BOS @ UTA
1063,3/19/2023,Denver,Brooklyn,Denver,Brooklyn,BKN vs. DEN,DEN @ BKN
1064,3/19/2023,Phoenix,Oklahoma City,Phoenix,Oklahoma City,OKC vs. PHX,PHX @ OKC
1065,3/19/2023,Atlanta,San Antonio,Atlanta,San Antonio,SAS vs. ATL,ATL @ SAS
1066,3/19/2023,Miami,Detroit,Miami,Detroit,DET vs. MIA,MIA @ DET
1067,3/19/2023,New Orleans,Houston,New Orleans,Houston,HOU vs. NOP,NOP @ HOU
1068,3/19/2023,Toronto,Milwaukee,Toronto,Milwaukee,MIL vs. TOR,TOR @ MIL
1069,3/19/2023,LA Clippers,Portland,LAC,Portland,POR vs. LAC,LAC @ POR
1070,3/19/2023,Orlando,L.A. Lakers,Orlando,LAL,LAL vs. ORL,ORL @ LAL
1071,3/20/2023,Indiana,Charlotte,Indiana,Charlotte,CHA vs. IND,IND @ CHA
1072,3/20/2023,Chicago,Philadelphia,Chicago,Philadelphia,PHI vs. CHI,CHI @ PHI
1073,3/20/2023,Minnesota,New York,Minnesota,New York,NYK vs. MIN,MIN @ NYK
1074,3/20/2023,Golden State,Houston,Golden State,Houston,HOU vs. GSW,GSW @ HOU
1075,3/20/2023,Dallas,Memphis,Dallas,Memphis,MEM vs. DAL,DAL @ MEM
1076,3/20/2023,Sacramento,Utah,Sacramento,Utah,UTA vs. SAC,SAC @ UTA
1077,3/21/2023,Washington,Orlando,Washington,Orlando,ORL vs. WAS,WAS @ ORL
1078,3/21/2023,Detroit,Atlanta,Detroit,Atlanta,ATL vs. DET,DET @ ATL
1079,3/21/2023,Cleveland,Brooklyn,Cleveland,Brooklyn,BKN vs. CLE,CLE @ BKN
1080,3/21/2023,San Antonio,New Orleans,San Antonio,New Orleans,NOP vs. SAS,SAS @ NOP
1081,3/21/2023,Boston,Sacramento,Boston,Sacramento,SAC vs. BOS,BOS @ SAC
1082,3/21/2023,Oklahoma City,LA Clippers,Oklahoma City,LAC,LAC vs. OKC,OKC @ LAC
1083,3/22/2023,Denver,Washington,Denver,Washington,WAS vs. DEN,DEN @ WAS
1084,3/22/2023,New York,Miami,New York,Miami,MIA vs. NYK,NYK @ MIA
1085,3/22/2023,Indiana,Toronto,Indiana,Toronto,TOR vs. IND,IND @ TOR
1086,3/22/2023,Golden State,Dallas,Golden State,Dallas,DAL vs. GSW,GSW @ DAL
1087,3/22/2023,Philadelphia,Chicago,Philadelphia,Chicago,CHI vs. PHI,PHI @ CHI
1088,3/22/2023,Houston,Memphis,Houston,Memphis,MEM vs. HOU,HOU @ MEM
1089,3/22/2023,San Antonio,Milwaukee,San Antonio,Milwaukee,MIL vs. SAS,SAS @ MIL
1090,3/22/2023,Atlanta,Minnesota,Atlanta,Minnesota,MIN vs. ATL,ATL @ MIN
1091,3/22/2023,Portland,Utah,Portland,Utah,UTA vs. POR,POR @ UTA
1092,3/22/2023,Phoenix,L.A. Lakers,Phoenix,LAL,LAL vs. PHX,PHX @ LAL
1093,3/23/2023,New York,Orlando,New York,Orlando,ORL vs. NYK,NYK @ ORL
1094,3/23/2023,Cleveland,Brooklyn,Cleveland,Brooklyn,BKN vs. CLE,CLE @ BKN
1095,3/23/2023,Charlotte,New Orleans,Charlotte,New Orleans,NOP vs. CHA,CHA @ NOP
1096,3/23/2023,Oklahoma City,LA Clippers,Oklahoma City,LAC,LAC vs. OKC,OKC @ LAC
1097,3/24/2023,Indiana,Boston,Indiana,Boston,BOS vs. IND,IND @ BOS
1098,3/24/2023,San Antonio,Washington,San Antonio,Washington,WAS vs. SAS,SAS @ WAS
1099,3/24/2023,Detroit,Toronto,Detroit,Toronto,TOR vs. DET,DET @ TOR
1100,3/24/2023,Houston,Memphis,Houston,Memphis,MEM vs. HOU,HOU @ MEM
1101,3/24/2023,Charlotte,Dallas,Charlotte,Dallas,DAL vs. CHA,CHA @ DAL
1102,3/24/2023,Milwaukee,Utah,Milwaukee,Utah,UTA vs. MIL,MIL @ UTA
1103,3/24/2023,Philadelphia,Golden State,Philadelphia,Golden State,GSW vs. PHI,PHI @ GSW
1104,3/24/2023,Chicago,Portland,Chicago,Portland,POR vs. CHI,CHI @ POR
1105,3/24/2023,Phoenix,Sacramento,Phoenix,Sacramento,SAC vs. PHX,PHX @ SAC
1106,3/24/2023,Oklahoma City,L.A. Lakers,Oklahoma City,LAL,LAL vs. OKC,OKC @ LAL
1107,3/25/2023,Indiana,Atlanta,Indiana,Atlanta,ATL vs. IND,IND @ ATL
1108,3/25/2023,Brooklyn,Miami,Brooklyn,Miami,MIA vs. BKN,BKN @ MIA
1109,3/25/2023,Milwaukee,Denver,Milwaukee,Denver,DEN vs. MIL,MIL @ DEN
1110,3/25/2023,Philadelphia,Phoenix,Philadelphia,Phoenix,PHX vs. PHI,PHI @ PHX
1111,3/25/2023,Utah,Sacramento,Utah,Sacramento,SAC vs. UTA,UTA @ SAC
1112,3/25/2023,New Orleans,LA Clippers,New Orleans,LAC,LAC vs. NOP,NOP @ LAC
1113,3/26/2023,Dallas,Charlotte,Dallas,Charlotte,CHA vs. DAL,DAL @ CHA
1114,3/26/2023,Chicago,L.A. Lakers,Chicago,LAL,LAL vs. CHI,CHI @ LAL
1115,3/26/2023,Memphis,Atlanta,Memphis,Atlanta,ATL vs. MEM,MEM @ ATL
1116,3/26/2023,San Antonio,Boston,San Antonio,Boston,BOS vs. SAS,SAS @ BOS
1117,3/26/2023,Houston,Cleveland,Houston,Cleveland,CLE vs. HOU,HOU @ CLE
1118,3/26/2023,Brooklyn,Orlando,Brooklyn,Orlando,ORL vs. BKN,BKN @ ORL
1119,3/26/2023,Washington,Toronto,Washington,Toronto,TOR vs. WAS,WAS @ TOR
1120,3/26/2023,Oklahoma City,Portland,Oklahoma City,Portland,POR vs. OKC,OKC @ POR
1121,3/26/2023,Minnesota,Golden State,Minnesota,Golden State,GSW vs. MIN,MIN @ GSW
1122,3/27/2023,Milwaukee,Detroit,Milwaukee,Detroit,DET vs. MIL,MIL @ DET
1123,3/27/2023,Dallas,Indiana,Dallas,Indiana,IND vs. DAL,DAL @ IND
1124,3/27/2023,Houston,New York,Houston,New York,NYK vs. HOU,HOU @ NYK
1125,3/27/2023,Phoenix,Utah,Phoenix,Utah,UTA vs. PHX,PHX @ UTA
1126,3/27/2023,Philadelphia,Denver,Philadelphia,Denver,DEN vs. PHI,PHI @ DEN
1127,3/27/2023,New Orleans,Portland,New Orleans,Portland,POR vs. NOP,NOP @ POR
1128,3/27/2023,Minnesota,Sacramento,Minnesota,Sacramento,SAC vs. MIN,MIN @ SAC
1129,3/27/2023,Chicago,LA Clippers,Chicago,LAC,LAC vs. CHI,CHI @ LAC
1130,3/28/2023,Boston,Washington,Boston,Washington,WAS vs. BOS,BOS @ WAS
1131,3/28/2023,Cleveland,Atlanta,Cleveland,Atlanta,ATL vs. CLE,CLE @ ATL
1132,3/28/2023,Miami,Toronto,Miami,Toronto,TOR vs. MIA,MIA @ TOR
1133,3/28/2023,Orlando,Memphis,Orlando,Memphis,MEM vs. ORL,ORL @ MEM
1134,3/28/2023,Charlotte,Oklahoma City,Charlotte,Oklahoma City,OKC vs. CHA,CHA @ OKC
1135,3/28/2023,New Orleans,Golden State,New Orleans,Golden State,GSW vs. NOP,NOP @ GSW
1136,3/29/2023,Milwaukee,Indiana,Milwaukee,Indiana,IND vs. MIL,MIL @ IND
1137,3/29/2023,Houston,Brooklyn,Houston,Brooklyn,BKN vs. HOU,HOU @ BKN
1138,3/29/2023,Miami,New York,Miami,New York,NYK vs. MIA,MIA @ NYK
1139,3/29/2023,Dallas,Philadelphia,Dallas,Philadelphia,PHI vs. DAL,DAL @ PHI
1140,3/29/2023,L.A. Lakers,Chicago,LAL,Chicago,CHI vs. LAL,LAL @ CHI
1141,3/29/2023,LA Clippers,Memphis,LAC,Memphis,MEM vs. LAC,LAC @ MEM
1142,3/29/2023,Detroit,Oklahoma City,Detroit,Oklahoma City,OKC vs. DET,DET @ OKC
1143,3/29/2023,Utah,San Antonio,Utah,San Antonio,SAS vs. UTA,UTA @ SAS
1144,3/29/2023,Minnesota,Phoenix,Minnesota,Phoenix,PHX vs. MIN,MIN @ PHX
1145,3/29/2023,Sacramento,Portland,Sacramento,Portland,POR vs. SAC,SAC @ POR
1146,3/30/2023,Boston,Milwaukee,Boston,Milwaukee,MIL vs. BOS,BOS @ MIL
1147,3/30/2023,New Orleans,Denver,New Orleans,Denver,DEN vs. NOP,NOP @ DEN
1148,3/31/2023,Chicago,Charlotte,Chicago,Charlotte,CHA vs. CHI,CHI @ CHA
1149,3/31/2023,Oklahoma City,Indiana,Oklahoma City,Indiana,IND vs. OKC,OKC @ IND
1150,3/31/2023,Toronto,Philadelphia,Toronto,Philadelphia,PHI vs. TOR,TOR @ PHI
1151,3/31/2023,Orlando,Washington,Orlando,Washington,WAS vs. ORL,ORL @ WAS
1152,3/31/2023,Utah,Boston,Utah,Boston,BOS vs. UTA,UTA @ BOS
1153,3/31/2023,Atlanta,Brooklyn,Atlanta,Brooklyn,BKN vs. ATL,ATL @ BKN
1154,3/31/2023,New York,Cleveland,New York,Cleveland,CLE vs. NYK,NYK @ CLE
1155,3/31/2023,Detroit,Houston,Detroit,Houston,HOU vs. DET,DET @ HOU
1156,3/31/2023,LA Clippers,Memphis,LAC,Memphis,MEM vs. LAC,LAC @ MEM
1157,3/31/2023,L.A. Lakers,Minnesota,LAL,Minnesota,MIN vs. LAL,LAL @ MIN
1158,3/31/2023,San Antonio,Golden State,San Antonio,Golden State,GSW vs. SAS,SAS @ GSW
1159,3/31/2023,Sacramento,Portland,Sacramento,Portland,POR vs. SAC,SAC @ POR
1160,3/31/2023,Denver,Phoenix,Denver,Phoenix,PHX vs. DEN,DEN @ PHX
1161,4/1/2023,Dallas,Miami,Dallas,Miami,MIA vs. DAL,DAL @ MIA
1162,4/1/2023,LA Clippers,New Orleans,LAC,New Orleans,NOP vs. LAC,LAC @ NOP
1163,4/2/2023,Toronto,Charlotte,Toronto,Charlotte,CHA vs. TOR,TOR @ CHA
1164,4/2/2023,Utah,Brooklyn,Utah,Brooklyn,BKN vs. UTA,UTA @ BKN
1165,4/2/2023,Memphis,Chicago,Memphis,Chicago,CHI vs. MEM,MEM @ CHI
1166,4/2/2023,Portland,Minnesota,Portland,Minnesota,MIN vs. POR,POR @ MIN
1167,4/2/2023,Dallas,Atlanta,Dallas,Atlanta,ATL vs. DAL,DAL @ ATL
1168,4/2/2023,Washington,New York,Washington,New York,NYK vs. WAS,WAS @ NYK
1169,4/2/2023,Detroit,Orlando,Detroit,Orlando,ORL vs. DET,DET @ ORL
1170,4/2/2023,San Antonio,Sacramento,San Antonio,Sacramento,SAC vs. SAS,SAS @ SAC
1171,4/2/2023,L.A. Lakers,Houston,LAL,Houston,HOU vs. LAL,LAL @ HOU
1172,4/2/2023,Phoenix,Oklahoma City,Phoenix,Oklahoma City,OKC vs. PHX,PHX @ OKC
1173,4/2/2023,Indiana,Cleveland,Indiana,Cleveland,CLE vs. IND,IND @ CLE
1174,4/2/2023,Philadelphia,Milwaukee,Philadelphia,Milwaukee,MIL vs. PHI,PHI @ MIL
1175,4/2/2023,Golden State,Denver,Golden State,Denver,DEN vs. GSW,GSW @ DEN
1176,4/4/2023,Toronto,Charlotte,Toronto,Charlotte,CHA vs. TOR,TOR @ CHA
1177,4/4/2023,Miami,Detroit,Miami,Detroit,DET vs. MIA,MIA @ DET
1178,4/4/2023,Cleveland,Orlando,Cleveland,Orlando,ORL vs. CLE,CLE @ ORL
1179,4/4/2023,Milwaukee,Washington,Milwaukee,Washington,WAS vs. MIL,MIL @ WAS
1180,4/4/2023,Minnesota,Brooklyn,Minnesota,Brooklyn,BKN vs. MIN,MIN @ BKN
1181,4/4/2023,Boston,Philadelphia,Boston,Philadelphia,PHI vs. BOS,BOS @ PHI
1182,4/4/2023,Atlanta,Chicago,Atlanta,Chicago,CHI vs. ATL,ATL @ CHI
1183,4/4/2023,Denver,Houston,Denver,Houston,HOU vs. DEN,DEN @ HOU
1184,4/4/2023,Portland,Memphis,Portland,Memphis,MEM vs. POR,POR @ MEM
1185,4/4/2023,Sacramento,New Orleans,Sacramento,New Orleans,NOP vs. SAC,SAC @ NOP
1186,4/4/2023,L.A. Lakers,Utah,LAL,Utah,UTA vs. LAL,LAL @ UTA
1187,4/4/2023,Oklahoma City,Golden State,Oklahoma City,Golden State,GSW vs. OKC,OKC @ GSW
1188,4/4/2023,San Antonio,Phoenix,San Antonio,Phoenix,PHX vs. SAS,SAS @ PHX
1189,4/5/2023,Brooklyn,Detroit,Brooklyn,Detroit,DET vs. BKN,BKN @ DET
1190,4/5/2023,New York,Indiana,New York,Indiana,IND vs. NYK,NYK @ IND
1191,4/5/2023,Washington,Atlanta,Washington,Atlanta,ATL vs. WAS,WAS @ ATL
1192,4/5/2023,Toronto,Boston,Toronto,Boston,BOS vs. TOR,TOR @ BOS
1193,4/5/2023,Chicago,Milwaukee,Chicago,Milwaukee,MIL vs. CHI,CHI @ MIL
1194,4/5/2023,Memphis,New Orleans,Memphis,New Orleans,NOP vs. MEM,MEM @ NOP
1195,4/5/2023,Sacramento,Dallas,Sacramento,Dallas,DAL vs. SAC,SAC @ DAL
1196,4/5/2023,L.A. Lakers,LA Clippers,LAL,LAC,LAC vs. LAL,LAL @ LAC
1197,4/6/2023,Cleveland,Orlando,Cleveland,Orlando,ORL vs. CLE,CLE @ ORL
1198,4/6/2023,Miami,Philadelphia,Miami,Philadelphia,PHI vs. MIA,MIA @ PHI
1199,4/6/2023,Portland,San Antonio,Portland,San Antonio,SAS vs. POR,POR @ SAS
1200,4/6/2023,Oklahoma City,Utah,Oklahoma City,Utah,UTA vs. OKC,OKC @ UTA
1201,4/6/2023,Denver,Phoenix,Denver,Phoenix,PHX vs. DEN,DEN @ PHX
1202,4/7/2023,Houston,Charlotte,Houston,Charlotte,CHA vs. HOU,HOU @ CHA
1203,4/7/2023,Detroit,Indiana,Detroit,Indiana,IND vs. DET,DET @ IND
1204,4/7/2023,Miami,Washington,Miami,Washington,WAS vs. MIA,MIA @ WAS
1205,4/7/2023,Philadelphia,Atlanta,Philadelphia,Atlanta,ATL vs. PHI,PHI @ ATL
1206,4/7/2023,Toronto,Boston,Toronto,Boston,BOS vs. TOR,TOR @ BOS
1207,4/7/2023,Orlando,Brooklyn,Orlando,Brooklyn,BKN vs. ORL,ORL @ BKN
1208,4/7/2023,Memphis,Milwaukee,Memphis,Milwaukee,MIL vs. MEM,MEM @ MIL
1209,4/7/2023,New York,New Orleans,New York,New Orleans,NOP vs. NYK,NYK @ NOP
1210,4/7/2023,Chicago,Dallas,Chicago,Dallas,DAL vs. CHI,CHI @ DAL
1211,4/7/2023,Golden State,Sacramento,Golden State,Sacramento,SAC vs. GSW,GSW @ SAC
1212,4/7/2023,Phoenix,L.A. Lakers,Phoenix,LAL,LAL vs. PHX,PHX @ LAL
1213,4/8/2023,Denver,Utah,Denver,Utah,UTA vs. DEN,DEN @ UTA
1214,4/8/2023,Minnesota,San Antonio,Minnesota,San Antonio,SAS vs. MIN,MIN @ SAS
1215,4/8/2023,Portland,LA Clippers,Portland,LAC,LAC vs. POR,POR @ LAC
1216,4/9/2023,Atlanta,Boston,Atlanta,Boston,BOS vs. ATL,ATL @ BOS
1217,4/9/2023,Philadelphia,Brooklyn,Philadelphia,Brooklyn,BKN vs. PHI,PHI @ BKN
1218,4/9/2023,Charlotte,Cleveland,Charlotte,Cleveland,CLE vs. CHA,CHA @ CLE
1219,4/9/2023,Orlando,Miami,Orlando,Miami,MIA vs. ORL,ORL @ MIA
1220,4/9/2023,Indiana,New York,Indiana,New York,NYK vs. IND,IND @ NYK
1221,4/9/2023,Milwaukee,Toronto,Milwaukee,Toronto,TOR vs. MIL,MIL @ TOR
1222,4/9/2023,Houston,Washington,Houston,Washington,WAS vs. HOU,HOU @ WAS
1223,4/9/2023,Detroit,Chicago,Detroit,Chicago,CHI vs. DET,DET @ CHI
1224,4/9/2023,San Antonio,Dallas,San Antonio,Dallas,DAL vs. SAS,SAS @ DAL
1225,4/9/2023,New Orleans,Minnesota,New Orleans,Minnesota,MIN vs. NOP,NOP @ MIN
1226,4/9/2023,Memphis,Oklahoma City,Memphis,Oklahoma City,OKC vs. MEM,MEM @ OKC
1227,4/9/2023,Sacramento,Denver,Sacramento,Denver,DEN vs. SAC,SAC @ DEN
1228,4/9/2023,Utah,L.A. Lakers,Utah,LAL,LAL vs. UTA,UTA @ LAL
1229,4/9/2023,LA Clippers,Phoenix,LAC,Phoenix,PHX vs. LAC,LAC @ PHX
1230,4/9/2023,Golden State,Portland,Golden State,Portland,POR vs. GSW,GSW @ POR
